Period;Hour;Day_type;Origin;Destination;Immobility;Home_Category;Activity_Category;Area/Nationality;Type;Observation_Zone;Mode;Volume
202002;06:30:00;WE;Hors_Zone;Nord-Kivu;1h;Outside_Resident;Outside_Worker;Rwanda;Etranger;ZoneGlobale;All_modes;106
202002;06:30:00;WE;Hors_Zone;Nord-Kivu;1h;Outside_Resident;Outside_Worker;Uganda;Etranger;ZoneGlobale;All_modes;2278
202002;06:30:00;WE;Hors_Zone;Sud-Kivu;1h;Outside_Resident;Outside_Worker;Rwanda;Etranger;ZoneGlobale;All_modes;324
202002;06:30:00;WE;Hors_Zone;Sud-Kivu;1h;Outside_Resident;Outside_Worker;Sud-Kivu;Local;ZoneGlobale;All_modes;108
202002;06:30:00;WE;Hors_Zone;Sud-Kivu;1h;Outside_Resident;Outside_Worker;Uganda;Etranger;ZoneGlobale;All_modes;85
202002;06:30:00;WE;Hors_Zone;Sud-Ubangi;1h;Outside_Resident;Outside_Worker;Central African Rep.;Etranger;ZoneGlobale;All_modes;54
202002;06:30:00;WE;Hors_Zone;Sud-Ubangi;1h;Outside_Resident;Outside_Worker;Senegal;Etranger;ZoneGlobale;All_modes;54
202002;06:30:00;WE;Kasai-Oriental;Kasai-Central;3h;Destination_Zone_Resident;Destination_Zone_Worker;Kasa‹ Occidental;Local;ZoneGlobale;All_modes;28
202002;06:30:00;WE;Kinshasa;Kongo-Central;1h;Destination_Zone_Resident;Destination_Zone_Worker;Bas congo (Kongo-Central);Local;ZoneGlobale;All_modes;116
202002;06:30:00;WE;Kinshasa;Kongo-Central;1h;Origin_Zone_Resident;Origin_Zone_Worker;Kinshasa;Local;ZoneGlobale;All_modes;25
202002;06:30:00;WE;Kinshasa;Kongo-Central;3h;Outside_Resident;Origin_Zone_Worker;Kinshasa;Local;ZoneGlobale;All_modes;31
202002;06:30:00;WE;Kinshasa;Kongo-Central;3h;Destination_Zone_Resident;Destination_Zone_Worker;Bas congo (Kongo-Central);Local;ZoneGlobale;All_modes;95
202002;06:30:00;WE;Kinshasa;Kongo-Central;3h;Origin_Zone_Resident;Origin_Zone_Worker;Kinshasa;Local;ZoneGlobale;All_modes;44
202002;06:30:00;WE;Kongo-Central;Kinshasa;1h;Origin_Zone_Resident;Origin_Zone_Worker;Bas congo (Kongo-Central);Local;ZoneGlobale;All_modes;81
202002;06:30:00;WE;Kongo-Central;Kinshasa;1h;Origin_Zone_Resident;Origin_Zone_Worker;Kinshasa;Local;ZoneGlobale;All_modes;31
202002;06:30:00;WE;Kongo-Central;Kinshasa;3h;Destination_Zone_Resident;Destination_Zone_Worker;Kinshasa;Local;ZoneGlobale;All_modes;28
202002;06:30:00;WE;Kongo-Central;Kinshasa;3h;Origin_Zone_Resident;Origin_Zone_Worker;Bas congo (Kongo-Central);Local;ZoneGlobale;All_modes;70
202002;06:30:00;WE;Kongo-Central;Kinshasa;3h;Origin_Zone_Resident;Origin_Zone_Worker;Kinshasa;Local;ZoneGlobale;All_modes;42
202002;06:30:00;WE;Lualaba;Haut-Katanga;1h;Destination_Zone_Resident;Destination_Zone_Worker;China;Etranger;ZoneGlobale;All_modes;26
202002;06:30:00;WE;Lualaba;Haut-Katanga;1h;Origin_Zone_Resident;Origin_Zone_Worker;China;Etranger;ZoneGlobale;All_modes;50
202002;06:30:00;WE;Lualaba;Haut-Katanga;3h;Outside_Resident;Outside_Worker;China;Etranger;ZoneGlobale;All_modes;24
202002;06:30:00;WE;Lualaba;Haut-Katanga;3h;Outside_Resident;Destination_Zone_Worker;China;Etranger;ZoneGlobale;All_modes;29
202002;06:30:00;WE;Nord-Kivu;Sud-Kivu;1h;Outside_Resident;Outside_Worker;Uganda;Etranger;ZoneGlobale;All_modes;65
202002;06:30:00;WE;Nord-Kivu;Sud-Kivu;1h;Origin_Zone_Resident;Origin_Zone_Worker;Rwanda;Etranger;ZoneGlobale;All_modes;55
202002;06:30:00;WE;Nord-Kivu;Sud-Kivu;3h;Origin_Zone_Resident;Origin_Zone_Worker;Rwanda;Etranger;ZoneGlobale;All_modes;54
202002;07:00:00;JO;Equateur;Kinshasa;1h;Outside_Resident;Outside_Worker;Congo Republic;Etranger;ZoneGlobale;All_modes;55
